ID	PercChange_ActNoCorr/Ingreso	PercChange_CostoOperacion/Ingreso	PercChange_GastoAdmin/Ingreso	PercChange_NPersonal/Ingreso	PercChange_Liquidez	PercChange_ROA	PercChange_ROE	Whealth_Creation
2014-2015_INRETAIL PERÚ CORP.	-3.02	-1.15	-1.33		100.61	18.90	23.55	0
2014-2015_INTERCORP FINANCIAL SERVICES INC.	-19.01	-1.85	-11.11			3.90	24.13	0
2014-2015_INTRADEVCO INDUSTRIAL S.A.	-1.32	-4.25	-12.70	1.72	3.23	137.15	129.21	0
2014-2015_INVERSIONES CENTENARIO S.A.A.	-5.77	16.40	-21.12	-26.89	69.45	46.18	22.27	0
2014-2015_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	-12.06	-3.43	-1.02	-0.74	89.23	1591.51	1623.09	0
2014-2015_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	3.71	1.61	0.27	-25.57	-7.13	19.71	6.45	0
2014-2015_LECHE GLORIA S.A.	9.76	-0.60	11.98	-2.80	-4.17	-36.89	-29.39	0
2014-2015_LUZ DEL SUR S.A.A.	-4.41	0.77	-6.49	-2.37	-7.25	-5.88	-3.06	0
2014-2015_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-8.66	-19.29	12.11	11.07	30.38	-19.58	-16.52	1
2014-2015_MINSUR S.A.	-8.48	18.18	14.61	58.47	20.23	-100.00	-100.00	0
2014-2015_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	23.02	18.21	2.56	-0.71	31.02	-64.26	-65.45	0
2014-2015_PERU HOLDING DE TURISMO S.A.A.	-16.09		-23.64		14633.21			1
2014-2015_QUIMPAC S.A.	-3.54	0.47	-17.44	-4.28	32.59	31.18	20.42	0
2014-2015_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	92.90	-5.77	64.58	-16.37	-8.60			0
2014-2015_RIMAC SEGUROS Y REASEGUROS	-1.59	-2.80	-4.93		-33.62	-12.57	5.92	0
2014-2015_SAGA FALABELLA S.A.	7.36	-1.84	7.59	-17.88	1.65	13.83	11.06	0
2014-2015_SCOTIABANK PERU S.A.A.	8.46	5.87	-0.90	-4.06		-16.14	-2.92	0
2014-2015_TELEFONICA DEL PERU S.A.A.	2.32		1.47	3.79	-16.79	-100.00	-100.00	0
2014-2015_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.	-11.60	-0.19	-12.81	-100.00	29.99	-98.05	-98.03	0
2014-2015_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-4.68	0.03	-3.10		-4.80	16.94	21.43	1
2014-2015_VOLCAN COMPAÑIA MINERA S.A.A.	11.82	0.50	13.18	34.09	-7.13	-100.00	-100.00	0
2014-2016_AGRO INDUSTRIAL PARAMONGA S.A.A.	-31.74	-17.67	0.85	1.87	-15.69	474.68	529.03	1
2014-2016_AGROKASA HOLDINGS S.A.	-36.20	-31.77	9.76	-16.02	-4.94	242.94	210.20	0
2014-2016_ALICORP S.A.A.	-9.07	-4.19	10.66	-17.71	6.33	2694.08	1940.71	0
2014-2016_ANDINO INVESTMENT HOLDING S.A.A.	-13.07	7.29	31.20	15.74	-62.64	-100.00	-100.00	0
2014-2016_AUSTRAL GROUP S.A.A.	25.18	7.14	28.83	-12.30	-6.91			0
2014-2016_BANCO DE CREDITO DEL PERU	3.96	1.37	-1.24	-30.48	22.68	41.46	12.20	0
2014-2016_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	5.47	1.88	-1.93	-25.52	-0.27	-61.45	-59.46	1
2014-2016_BBVA BANCO CONTINENTAL	-2.68	27.22	-3.81	-17.97	8101.10	-20.30	-20.49	0
2014-2016_CEMENTOS PACASMAYO S.A.A.	9.90	1.91	-0.57	-4.92	-21.39	-41.64	-37.46	1
2014-2016_CERVECERIA SAN JUAN S.A.	-11.43	-0.14	54.47	5.98	57.65	-25.34	-16.21	1
2014-2016_CINEPLEX S.A.	-20.70	-2.04	-26.44	28.49	-71.15	83.81	88.32	1
2014-2016_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	1.78	-4.42	-11.11	-100.00	-27.98			1
2014-2016_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-72.82	-61.90	-56.52	-78.14	6.06			1
2014-2016_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	-26.37	7.50	-11.08	-30.46	-29.98	-67.00	-68.27	0
2014-2016_CORPORACION ACEROS AREQUIPA S.A.	6.33	1.21	14.78	-33.71	37.76	50.96	34.70	0
2014-2016_CORPORACION CERVESUR S.A.A.	-19.14	-1.14	-3.91	-3.91	-83.12	-50.66	-43.07	0
2014-2016_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	-10.69	-1.78	-5.11	255.25	298.71	-58.35	-59.96	0
2014-2016_CORPORACION LINDLEY S.A.	-12.84	-6.34	-16.19	-23.79	-25.39	8806.07	6795.74	0
2014-2016_CREDICORP CAPITAL PERÚ S.A.A.	-17.46	-1.63	61.34	-100.00	5313.23	-5.90	-3.47	0
2014-2016_CREDITEX S.A.A.	18.73	1.56	17.02	-30.63	-4.21	-98.16	-98.62	1
2014-2016_DIVISO GRUPO FINANCIERO S.A.	1.48	-2.82	31.49		-24.55	-100.00	-100.00	0
2014-2016_ELECTRO DUNAS S.A.A.	-17.45	-2.50	-29.11	18.05	-18.52	0.82	27.98	0
2014-2016_EMPRESA EDITORA EL COMERCIO S.A.	7.46	13.07	7.20	-8.70	-37.22	-42.66	-42.63	0
2014-2016_ENEL GENERACIÓN PERÚ S.A.A.	-20.67	19.76	12.90	-6.94	3.97	-99.48	-56.12	0
2014-2016_EXSA S.A.	17.76	-4.34	62.39		12.82	-63.70	-66.03	0
2014-2016_FALABELLA PERÚ S.A.A.	6.87	-0.17	-4.61		-99.58	47.69	39.02	0
2014-2016_FERREYCORP S.A.A.	15.81	-1.71	16.75	-17.82	-38.58	137.39	108.81	0
2014-2016_FUTURA CONSORCIO INMOBILIARIO S.A.	632.65	-87.95	46.48		-28.97	-100.00	-100.00	0
2014-2016_GR HOLDING S.A.	19.70	3.22	-1.38	-26.70	64.25	7.86	1.69	0
2014-2016_GRAÑA Y MONTERO S.A.A.	71.94	5.29	2.75	-23.46	-92.85	-100.00	-100.00	0
2014-2016_INRETAIL PERÚ CORP.	-4.65	-2.20	2.66		63.13	107.37	114.00	1
2014-2016_INTERCORP FINANCIAL SERVICES INC.	-19.33	14.28	-4.67			-32.40	-25.44	1
2014-2016_INTRADEVCO INDUSTRIAL S.A.	-17.58	-2.16	-38.31	6.38	5.31	260.40	249.35	0
2014-2016_INVERSIONES CENTENARIO S.A.A.	-0.43	22.26	-23.42	-37.06	35.88	-53.77	-61.55	0
2014-2016_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	-19.40	-5.85	-13.53	7.21	6.91	1747.74	1804.52	0
2014-2016_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	43.84	8.42	5.76	-42.33	2.33	35.80	10.50	0
2014-2016_LECHE GLORIA S.A.	7.96	-1.11	7.02	5.94	-5.67	-52.33	-46.45	0
2014-2016_LUZ DEL SUR S.A.A.	12.76	0.05	17.61	-35.98	-30.10	-28.34	-29.60	0
2014-2016_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-7.84	-10.00	7.31	-29.77	120.38	-2.39	-12.18	0
2014-2016_MINSUR S.A.	2.64	7.58	12.27	59.84	0.33	52.72	79.49	1
2014-2016_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	9.26	1.69	-2.89	-13.89	25.58	10.22	21.17	1
2014-2016_PERU HOLDING DE TURISMO S.A.A.	-26.17		8.56		25.34			1
2014-2016_QUIMPAC S.A.	-4.32	2.43	-10.66	-7.71	24.49	18.74	8.48	0
2014-2016_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	147.11	-8.39	78.54	-26.94	38.98			1
2014-2016_RIMAC SEGUROS Y REASEGUROS	6.37	5.68	0.77		11.58	-17.10	-13.15	0
2014-2016_SAGA FALABELLA S.A.	39.39	-1.90	13.28	-10.97	-6.87	-1.19	3.98	0
2014-2016_SCOTIABANK PERU S.A.A.	-6.09	33.62	-17.71	-13.06		-0.43	-3.32	0
2014-2016_TELEFONICA DEL PERU S.A.A.	17.53		6.60	-12.11	-23.75	-19.03	-11.37	0
2014-2016_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.	-8.33	1.87	10.16	9.73	3.96	-66.76	-67.09	0
2014-2016_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-11.43	-0.14	54.47		-15.72	-25.34	-16.21	1
2014-2016_VOLCAN COMPAÑIA MINERA S.A.A.	13.85	-14.82	2.70	17.96	2.33	65.83	97.47	0
2014-2017_AGRO INDUSTRIAL PARAMONGA S.A.A.	-29.89	-23.30	-13.55	0.07	-0.55	1338.58	1416.04	0
2014-2017_AGROKASA HOLDINGS S.A.	-36.43	-29.48	22.57	-28.07	41.70	208.14	164.70	1
2014-2017_ALICORP S.A.A.	-16.93	-6.65	23.54	-100.00	27.61	3512.34	2621.88	0
2014-2017_ANDINO INVESTMENT HOLDING S.A.A.	-11.60	10.88	-2.68	25.86	235.65	-100.00	-100.00	1
2014-2017_AUSTRAL GROUP S.A.A.	3.30	12.27	9.32	-1.28	324.96			1
2014-2017_BANCO DE CREDITO DEL PERU	2.72	2.07	-0.68	-37.38	6.45	33.13	3.26	1
2014-2017_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-1.39	-0.21	-1.64	-33.51	-2.51	-71.00	-73.47	1
2014-2017_BBVA BANCO CONTINENTAL	0.18	21.34	-3.46	-23.88	4925.80	-15.15	-24.72	1
2014-2017_CEMENTOS PACASMAYO S.A.A.	3.89	2.62	1.78	27.16	-37.89	-50.81	-41.30	1
2014-2017_CERVECERIA SAN JUAN S.A.	-20.47	-5.23	-15.41	-10.15	354.62	7.10	41.21	1
2014-2017_CINEPLEX S.A.	-24.34	-1.93	-18.16	12.79	331.14	72.76	67.77	1
2014-2017_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	-17.67	-4.75	-23.71	277.85	276.90			1
2014-2017_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-82.26	-66.96	-49.62	-81.67	472.86			1
2014-2017_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	-26.28	13.37	5.46	-19.64	242.48	-76.30	-77.36	1
2014-2017_CORPORACION ACEROS AREQUIPA S.A.	-9.50	3.81	-4.45	-38.79	-30.10	88.58	71.24	1
2014-2017_CORPORACION CERVESUR S.A.A.	-16.70	2.44	-11.68	-13.35	-58.07	-44.42	-38.37	0
2014-2017_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	2.34	-3.97	4.74	257.81	-67.24	-42.19	-38.39	1
2014-2017_CORPORACION LINDLEY S.A.	-14.01	-8.05	-21.83	-31.80	414.84	5841.77	3950.55	1
2014-2017_CREDICORP CAPITAL PERÚ S.A.A.	-31.57	-2.03	51.31	-100.00	-84.55	7.39	34.94	1
2014-2017_CREDITEX S.A.A.	8.55	3.02	10.34	-26.05	-66.60	-69.65	-77.19	1
2014-2017_DIVISO GRUPO FINANCIERO S.A.	-15.16	4.74	13.89		-97.65	-100.00	-100.00	1
2014-2017_ELECTRO DUNAS S.A.A.	-13.86	-1.84	-24.98	21.33	477.55	-0.30	32.48	1
2014-2017_EMPRESA EDITORA EL COMERCIO S.A.	24.01	18.56	25.55	34.05	306.34	-91.13	-91.01	1
2014-2017_ENEL GENERACIÓN PERÚ S.A.A.	-23.03	20.00	-4.85	-8.08	106.30	-99.07	-28.39	1
2014-2017_EXSA S.A.	49.91	-5.08	73.72		-5.87	-57.55	-63.95	1
2014-2017_FALABELLA PERÚ S.A.A.	0.76	-0.11	1.45		-99.47	-15.22	-26.44	1
2014-2017_FERREYCORP S.A.A.	11.22	-1.39	20.08	-26.13	-78.51	170.60	122.70	1
2014-2017_FUTURA CONSORCIO INMOBILIARIO S.A.	660.26	-89.38	65.37		-77.47	4.00	-13.73	1
2014-2017_GR HOLDING S.A.	30.72	-1.27	5.43	-35.47	-62.33	31.07	13.28	1
2014-2017_GRAÑA Y MONTERO S.A.A.	77.19	2.91	17.41	-17.37	-93.66	-48.34	-29.00	1
2014-2017_INRETAIL PERÚ CORP.	-7.30	-1.72	3.88		83.61	108.50	110.47	0
2014-2017_INTERCORP FINANCIAL SERVICES INC.	32.34	21.92	-3.22			-42.01	-35.84	1
2014-2017_INTRADEVCO INDUSTRIAL S.A.	0.94	1.85	-34.01	-3.00	-54.40	188.78	162.34	1
2014-2017_INVERSIONES CENTENARIO S.A.A.	-0.42	41.97	-21.02	-40.76	149.80	-58.59	-66.18	1
2014-2017_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	56.83	-6.82	18.02	-21.69	290.68	-100.00	-100.00	0
2014-2017_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	49.86	26.42	12.42	-62.74	176.80	60.21	16.87	1
2014-2017_LECHE GLORIA S.A.	17.77	-5.59	21.61	4.46	-14.04	-42.25	-35.68	0
2014-2017_LUZ DEL SUR S.A.A.	25.34	-2.66	2.71	-39.12	900.74	-21.99	-23.49	1
2014-2017_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-19.34	-17.75	19.83	-45.33	323.92	18.76	-15.39	1
2014-2017_MINSUR S.A.	-0.94	7.33	18.50	53.58	-47.55	33.29	63.21	1
2014-2017_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	-20.18	-10.84	-45.97	9.21	-79.90	89.52	122.89	1
2014-2017_PERU HOLDING DE TURISMO S.A.A.	-19.61		-27.63		11604.66			1
2014-2017_QUIMPAC S.A.	-15.64	-0.33	-27.47	-15.77	263.35	73.08	54.94	1
2014-2017_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	111.10	-6.72	51.88	-36.10	66.17			1
2014-2017_RIMAC SEGUROS Y REASEGUROS	11.79	9.29	4.35		57.63	-78.51	-77.02	1
2014-2017_SAGA FALABELLA S.A.	20.65	-1.72	21.52	-0.31	-13.70	-5.54	4.35	1
2014-2017_SCOTIABANK PERU S.A.A.	-5.91	31.73	-20.34	-23.04		-0.54	-11.28	1
2014-2017_TELEFONICA DEL PERU S.A.A.	25.78		20.82	-10.53	522.66	-100.00	-100.00	1
2014-2017_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.	-12.03	2.90	6.35	9.06	542.41	-27.68	-31.81	1
2014-2017_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-20.47	-5.23	-15.41		83.31	7.10	41.21	1
2014-2017_VOLCAN COMPAÑIA MINERA S.A.A.	1.67	-20.44	1.95	134.84	277.18	-100.00	-100.00	1
2015-2016_AGRO INDUSTRIAL PARAMONGA S.A.A.	-18.21	2.53	3.11	-4.16	21.98	26.66	28.23	1
2015-2016_AGROKASA HOLDINGS S.A.	-35.47	-22.83	5.90	-1.68	4.77	6.75	2.66	0
2015-2016_ALICORP S.A.A.	2.25	-2.67	8.79	-12.73	16.18	94.36	65.41	1
2015-2016_ANDINO INVESTMENT HOLDING S.A.A.	-11.34	6.23	18.73	16.57	-8.18			1
2015-2016_AUSTRAL GROUP S.A.A.	5.80	18.58	10.24	2.83	-41.32			0
2015-2016_BANCO DE CREDITO DEL PERU	-8.19	5.43	3.45	-13.88	0.49	12.59	-7.35	0
2015-2016_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-6.04	6.63	-0.62	-4.09	0.94	-55.57	-56.98	1
2015-2016_BBVA BANCO CONTINENTAL	-5.51	8.05	-9.52	-7.50	10055.25	0.67	-12.63	1
2015-2016_CEMENTOS PACASMAYO S.A.A.	-13.76	5.08	1.78	-9.72	38.92	-45.17	-44.88	1
2015-2016_CERVECERIA SAN JUAN S.A.	-7.08	-0.17	59.41	10.79	-5.69	-36.16	-31.00	0
2015-2016_CINEPLEX S.A.	-3.35	-1.82	-9.28	19.34	-58.56	24.28	24.25	0
2015-2016_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	-17.78	-22.81	-15.92	-100.00	47.43			1
2015-2016_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-47.07	-50.29	-21.87	-88.71	156.52			0
2015-2016_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	-5.46	0.40	3.92	7.80	62.72	-9.40	0.33	1
2015-2016_CORPORACION ACEROS AREQUIPA S.A.	4.18	5.16	5.26	-10.11	0.52	11.86	11.90	1
2015-2016_CORPORACION CERVESUR S.A.A.	-21.36	2.40	-11.44	-10.12	20.29	-32.69	-32.46	0
2015-2016_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	-3.18	-2.57	-7.61	384.61	849.33	-68.77	-69.96	0
2015-2016_CORPORACION LINDLEY S.A.	-7.65	-1.01	-12.15	-30.40	-30.79			0
2015-2016_CREDICORP CAPITAL PERÚ S.A.A.	-0.43	-4.06	94.31	-100.00	723.00	-33.34	-30.68	1
2015-2016_CREDITEX S.A.A.	4.12	3.12	4.05	-25.08	41.89	-97.03	-97.89	1
2015-2016_DIVISO GRUPO FINANCIERO S.A.	96.67	-25.70	134.75	-56.42	48.43			0
2015-2016_ELECTRO DUNAS S.A.A.	-6.83	-2.44	-25.90	2.11	-15.12	5.28	21.62	0
2015-2016_EMPRESA EDITORA EL COMERCIO S.A.	2.03	4.21	8.50	-5.61	-21.69	5.55	2.55	0
2015-2016_ENEL GENERACIÓN PERÚ S.A.A.	-18.04	19.58	-30.51	-5.35	43.24	-47.92	-48.52	1
2015-2016_EXSA S.A.	37.75	-4.18	10.31		-23.12			0
2015-2016_FALABELLA PERÚ S.A.A.	12.63	0.22	-5.81		-40.68	32.81	21.24	1
2015-2016_FERREYCORP S.A.A.	13.36	0.57	14.13	-13.17	6.06	41.59	26.05	1
2015-2016_FUTURA CONSORCIO INMOBILIARIO S.A.	657.16	-87.62	37.48		3.18			1
2015-2016_GR HOLDING S.A.	9.09	1.90	-2.59	-21.17	95.04	50.71	22.99	0
2015-2016_GRAÑA Y MONTERO S.A.A.	59.69	-0.03	17.04	23.58	-90.70	-100.00	-100.00	1
2015-2016_INRETAIL PERÚ CORP.	-1.69	-1.06	4.05		-18.68	74.40	73.21	1
2015-2016_INTERCORP FINANCIAL SERVICES INC.	-0.40	16.43	7.24			-34.94	-39.94	1
2015-2016_INTRADEVCO INDUSTRIAL S.A.	-16.48	2.19	-29.34	4.58	2.01	51.97	52.41	0
2015-2016_INVERSIONES CENTENARIO S.A.A.	5.66	5.03	-2.91	-13.91	-19.81	-68.37	-68.56	0
2015-2016_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	-8.34	-2.50	-12.63	8.01	-43.50	9.24	10.53	0
2015-2016_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	38.69	6.71	5.48	-22.53	10.19	13.44	3.81	0
2015-2016_LECHE GLORIA S.A.	-1.64	-0.51	-4.43	9.00	-1.56	-24.46	-24.16	1
2015-2016_LUZ DEL SUR S.A.A.	17.97	-0.72	25.77	-34.43	-24.63	-23.87	-27.38	1
2015-2016_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	0.90	11.51	-4.28	-36.77	69.02	21.39	5.20	0
2015-2016_MINSUR S.A.	12.15	-8.97	-2.04	0.87	-16.55			1
2015-2016_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	-11.18	-13.98	-5.31	-13.28	-4.16	208.41	250.66	1
2015-2016_PERU HOLDING DE TURISMO S.A.A.	-12.01		42.17		-99.15			1
2015-2016_QUIMPAC S.A.	-0.81	1.95	8.21	-3.59	-6.11	-9.48	-9.91	0
2015-2016_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	28.11	-2.78	8.48	-12.64	52.06	136.96	159.19	1
2015-2016_RIMAC SEGUROS Y REASEGUROS	8.08	8.72	5.99		68.08	-5.18	-18.00	1
2015-2016_SAGA FALABELLA S.A.	29.84	-0.06	5.30	8.42	-8.37	-13.20	-6.38	1
2015-2016_SCOTIABANK PERU S.A.A.	-13.41	26.20	-16.97	-9.38		18.73	-0.41	1
2015-2016_TELEFONICA DEL PERU S.A.A.	14.86		5.06	-15.32	-8.36			1
2015-2016_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.	3.70	2.06	26.34		-20.02	1604.63	1572.57	1
2015-2016_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-7.08	-0.17	59.41		-11.47	-36.16	-31.00	1
2015-2016_VOLCAN COMPAÑIA MINERA S.A.A.	1.81	-15.24	-9.25	-12.03	10.19			1
2015-2017_AGRO INDUSTRIAL PARAMONGA S.A.A.	-15.99	-4.49	-11.60	-5.85	43.88	217.06	209.06	0
2015-2017_AGROKASA HOLDINGS S.A.	-35.70	-20.24	18.26	-15.80	56.17	-4.09	-12.40	1
2015-2017_ALICORP S.A.A.	-6.58	-5.17	21.45	-100.00	39.43	151.27	120.63	0
2015-2017_ANDINO INVESTMENT HOLDING S.A.A.	-9.85	9.78	-11.93	26.76	724.97			1
2015-2017_AUSTRAL GROUP S.A.A.	-12.69	24.25	-6.45	15.76	167.87			1
2015-2017_BANCO DE CREDITO DEL PERU	-9.28	6.16	4.04	-22.44	-12.81	5.96	-14.73	1
2015-2017_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-12.15	4.44	-0.33	-14.38	-1.33	-66.58	-71.85	1
2015-2017_BBVA BANCO CONTINENTAL	-2.74	3.06	-9.19	-14.17	6123.34	7.16	-17.28	1
2015-2017_CEMENTOS PACASMAYO S.A.A.	-18.48	5.81	4.18	20.73	9.77	-53.79	-48.27	1
2015-2017_CERVECERIA SAN JUAN S.A.	-16.56	-5.26	-12.71	-6.07	171.97	-8.42	16.29	0
2015-2017_CINEPLEX S.A.	-7.80	-1.71	0.92	4.75	519.31	16.81	10.69	1
2015-2017_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	-33.49	-23.07	-27.84	235.86	671.56			1
2015-2017_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-65.46	-56.89	-9.46	-90.53	1285.46			1
2015-2017_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	-5.34	5.88	23.24	24.59	695.93	-34.94	-28.41	1
2015-2017_CORPORACION ACEROS AREQUIPA S.A.	-11.33	7.85	-12.38	-16.99	-49.00	39.73	42.25	1
2015-2017_CORPORACION CERVESUR S.A.A.	-18.99	6.10	-18.60	-18.95	198.75	-24.16	-26.88	0
2015-2017_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	10.93	-4.75	1.98	388.10	-21.99	-56.66	-53.78	1
2015-2017_CORPORACION LINDLEY S.A.	-8.88	-2.81	-18.06	-37.71	377.53			1
2015-2017_CREDICORP CAPITAL PERÚ S.A.A.	-17.44	-4.45	82.23	-100.00	-97.65	-23.92	-3.09	1
2015-2017_CREDITEX S.A.A.	-4.81	4.60	-1.90	-20.13	-50.52	-50.99	-65.21	1
2015-2017_DIVISO GRUPO FINANCIERO S.A.	64.41	-19.92	103.32	-22.62	-95.37			1
2015-2017_ELECTRO DUNAS S.A.A.	-2.78	-1.77	-21.58	4.95	501.69	4.11	25.89	1
2015-2017_EMPRESA EDITORA EL COMERCIO S.A.	17.74	9.27	27.08	38.58	406.89	-83.68	-83.94	1
2015-2017_ENEL GENERACIÓN PERÚ S.A.A.	-20.47	19.82	-41.44	-6.51	184.24	-6.61	-15.98	1
2015-2017_EXSA S.A.	75.37	-4.92	18.01		-35.85			1
2015-2017_FALABELLA PERÚ S.A.A.	6.19	0.28	0.17		-24.70	-23.76	-35.85	1
2015-2017_FERREYCORP S.A.A.	8.87	0.90	17.38	-21.95	-62.90	61.40	34.43	1
2015-2017_FUTURA CONSORCIO INMOBILIARIO S.A.	685.69	-89.10	55.20		-67.28			1
2015-2017_GR HOLDING S.A.	19.14	-2.53	4.14	-30.61	-55.27	83.15	37.01	1
2015-2017_GRAÑA Y MONTERO S.A.A.	64.57	-2.30	33.74	33.40	-91.76	53.17	81.52	1
2015-2017_INRETAIL PERÚ CORP.	-4.42	-0.58	5.28		-8.48	75.36	70.35	0
2015-2017_INTERCORP FINANCIAL SERVICES INC.	63.42	24.23	8.87			-44.19	-48.31	1
2015-2017_INTRADEVCO INDUSTRIAL S.A.	2.29	6.37	-24.41	-4.64	-55.82	21.77	14.45	1
2015-2017_INVERSIONES CENTENARIO S.A.A.	5.68	21.96	0.13	-18.97	47.42	-71.67	-72.34	1
2015-2017_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	78.33	-3.51	19.24	-21.11	106.46	-100.00	-100.00	0
2015-2017_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	44.50	24.42	12.11	-49.95	198.06	33.83	9.79	1
2015-2017_LECHE GLORIA S.A.	7.30	-5.02	8.60	7.47	-10.29	-8.49	-8.91	0
2015-2017_LUZ DEL SUR S.A.A.	31.13	-3.41	9.84	-37.64	978.99	-17.12	-21.08	1
2015-2017_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-11.69	1.91	6.88	-50.78	225.13	47.68	1.36	1
2015-2017_MINSUR S.A.	8.24	-9.19	3.39	-3.08	-56.37			1
2015-2017_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	-35.12	-24.58	-47.32	9.98	-84.66	430.30	545.04	1
2015-2017_PERU HOLDING DE TURISMO S.A.A.	-4.19		-5.23		-20.56			1
2015-2017_QUIMPAC S.A.	-12.54	-0.79	-12.15	-12.00	174.04	31.94	28.67	1
2015-2017_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	9.44	-1.01	-7.72	-23.59	81.81	164.85	209.41	1
2015-2017_RIMAC SEGUROS Y REASEGUROS	13.60	12.43	9.76		137.46	-75.42	-78.31	1
2015-2017_SAGA FALABELLA S.A.	12.38	0.12	12.96	21.40	-15.10	-17.01	-6.05	1
2015-2017_SCOTIABANK PERU S.A.A.	-13.25	24.42	-19.62	-19.79		18.60	-8.62	1
2015-2017_TELEFONICA DEL PERU S.A.A.	22.93		19.07	-13.79	648.29			1
2015-2017_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.	-0.48	3.09	21.97		394.21	3608.35	3365.88	1
2015-2017_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-16.56	-5.26	-12.71		92.56	-8.42	16.29	1
2015-2017_VOLCAN COMPAÑIA MINERA S.A.A.	-9.08	-20.84	-9.92	75.13	306.14			1
2016-2017_AGRO INDUSTRIAL PARAMONGA S.A.A.	2.72	-6.84	-14.27	-1.77	17.95	150.33	141.01	0
2016-2017_AGROKASA HOLDINGS S.A.	-0.35	3.36	11.68	-14.36	49.05	-10.15	-14.67	1
2016-2017_ALICORP S.A.A.	-8.64	-2.57	11.64	-100.00	20.02	29.29	33.38	0
2016-2017_ANDINO INVESTMENT HOLDING S.A.A.	1.69	3.35	-25.82	8.74	798.44			1
2016-2017_AUSTRAL GROUP S.A.A.	-17.48	4.78	-15.14	12.57	356.52			1
2016-2017_BANCO DE CREDITO DEL PERU	-1.19	0.69	0.56	-9.93	-13.24	-5.89	-7.97	1
